Country,Passport_Validity,Required_Documents,Additional_Notes
Afghanistan,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Medical letter should state diagnosis and planned treatment; embassy may request translations"
Albania,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Ensure hospital appointment confirmation included"
Algeria,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","May require embassy appointment and additional consular docs"
Andorra,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Small country — standard requirements apply"
Angola,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Medical reports may need translation to English"
Antigua and Barbuda,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Attendant details required if bringing caregiver"
Argentina,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Include hospital cost estimate"
Armenia,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Embassy may ask for medical insurance details"
Australia,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Biometric/appointment may be required at VAC"
Austria,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Provide hospital admission/appointment confirmation"
Azerbaijan,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","May require embassy attestation"
Bahamas,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Include return/onward ticket if available"
Bahrain,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Sponsor or employer NOC sometimes requested"
Bangladesh,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Expedited processing sometimes available"
Barbados,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Small consular office—plan ahead"
Belarus,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Documents may need notarization/translation"
Belgium,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Include hospital appointment & treatment duration estimate"
Belize,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Attendant details recommended if caregiver traveling"
Benin,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Vaccination record may be requested"
Bhutan,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Cross-border travel norms—confirm with embassy"
Bolivia,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Provide Spanish translations where required"
Bosnia and Herzegovina,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Consulate may request itinerary details"
Botswana,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Include bank statements for last 6 months"
Brazil,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Translations to English/Portuguese recommended"
Brunei,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Employer NOC sometimes requested"
Bulgaria,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Provide treatment cost estimate and hospital confirmation"
Burkina Faso,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Visa processing times may be longer—plan early"
Burundi,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Consulate may request extra documentation"
Cabo Verde,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Provide return ticket if possible"
Cambodia,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Some applicants require hospital invitation letter"
Cameroon,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","May require vaccination certificates"
Canada,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Biometrics and VAC appointment likely"
Central African Republic,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Processing can be slow—submit early"
Chad,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Consular checks may be strict"
Chile,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Include hospital cost estimate and appointment date"
China,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Strict document verification; translations often required"
Colombia,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Provide treatment length and cost estimate"
Comoros,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Small mission — plan for extra verification time"
Congo (Republic of),6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Embassy may request sponsor or invitation letter"
Congo (Democratic Republic),6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Check for required vaccinations"
Costa Rica,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Provide confirmed hospital appointment if possible"
Côte d'Ivoire,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Translations may be required"
Croatia,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Include hospital contact and treatment plan"
Cuba,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Consular processing may take longer"
Cyprus,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Provide travel insurance if available"
Czech Republic,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Schengen holders — still follow Indian visa norms"
Denmark,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Confirm appointment and hospital accreditation"
Djibouti,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Medical urgency details recommended"
Dominica,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Attendant details suggested"
Dominican Republic,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Include hospital cost estimate and travel plan"
Ecuador,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Spanish translations helpful"
Egypt,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Embassy may request additional health documents"
El Salvador,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Provide clear medical referral and appointment confirmation"
Equatorial Guinea,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Consular notes may vary"
Eritrea,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Processing times can be long"
Estonia,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Include hospital letter with dates"
Eswatini,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Provide bank statements and appointment confirmation"
Ethiopia,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","May require embassy interview"
Fiji,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Attendant allowance noted where applicable"
Finland,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Provide hospital accreditation & treatment estimate"
France,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Biometrics and VAC submission likely"
Gabon,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Vaccination documentation may be needed"
Gambia,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Include clear hospital invitation"
Georgia,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Embassy may request translated medical reports"
Germany,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Provide hospital cost estimate and appointment confirmation"
Ghana,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Police clearance sometimes requested"
Greece,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Provide travel insurance and hospital letter"
Grenada,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Attendant details recommended"
Guatemala,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Spanish translations helpful"
Guinea,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Check for vaccination requirements"
Guinea-Bissau,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Processing guidelines vary by mission"
Guyana,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Include documented treatment plan"
Haiti,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Consular processing times may vary"
Honduras,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Provide Spanish translations and hospital appointment"
Hungary,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Attach hospital admission/appointment confirmation"
Iceland,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Provide travel insurance when possible"
India,N/A,"Indian nationals do not require Medical Treatment Visa for domestic travel","N/A"
Indonesia,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Include hospital invitation and treatment schedule"
Iran,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Additional checks may apply"
Iraq,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Security/consular screening possible"
Ireland,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Biometrics may be required at VAC"
Israel,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Provide hospital confirmation and itinerary"
Italy,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Consulate may ask for comprehensive medical reports"
Jamaica,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Attendant info recommended"
Japan,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Fast-track options sometimes available"
Jordan,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","May require sponsor/attendant documentation"
Kazakhstan,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Provide translated medical reports if needed"
Kenya,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Yellow fever/vaccination certificate may be required"
Kiribati,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Remote missions — plan for extra processing time"
Korea (North),6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Diplomatic procedures vary"
Korea (South),6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Include hospital appointment confirmation"
Kosovo,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Recognition/disputes may affect consular services"
Kuwait,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Sponsor/employer NOC sometimes required"
Kyrgyzstan,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Provide hospital confirmation and translated reports"
Laos,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Attendant details useful if bringing caregiver"
Latvia,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Submit hospital letter with dates"
Lebanon,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Consular checks may be strict"
Lesotho,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Provide bank statements and treatment plan"
